discounted_reward,final_state_type,free_space_estimate,git_commit_id,hist_validation_hash,i_run,median_planning_time,median_prediction_time,median_updater_time,n_close,n_steps,pi_key,planner_hbm_key,simulation_hbm_key,solver_setup_key,undiscounted_reward,combined_median_time,normalized_discounted_reward
-70.36134126007913,success,-33.771795901601614,dcdd3e8ad0162d692145134a64a0b81109e09d93,1570541427840967e3,3,0.32430762,0,0.009340594,0,121,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-121,0.333648214,-36.589545358477515
-37.01763687967673,success,-33.771795901601614,dcdd3e8ad0162d692145134a64a0b81109e09d93,8873913080791065e3,3,0.0021176880000000004,0.012234970500000001,0.010104372,0,46,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-46,0.0244570305,-3.2458409780751154
-196.0240963262308,success,-33.771795901601614,dcdd3e8ad0162d692145134a64a0b81109e09d93,6391548203283551e3,4983,0.299257559,0,0.009652873,11,95,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-315,0.308910432,-162.25230042462917
-45.28433576092383,success,-33.771795901601614,dcdd3e8ad0162d692145134a64a0b81109e09d93,16639749289252426e3,4983,0.0022081395,0.012066154499999999,0.009719602,0,60,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-60,0.023993896,-11.512539859322217
-38.27098590577116,success,-26.029962661171947,dcdd3e8ad0162d692145134a64a0b81109e09d93,7825206605989604e3,23,0.2879712565,0,0.009781287,0,48,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-48,0.2977525435,-12.241023244599216
-94.36915088840703,success,-26.029962661171947,dcdd3e8ad0162d692145134a64a0b81109e09d93,5427914469165946e3,23,0.002638217,0.012115406,0.010028507,3,51,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-111,0.02478213,-68.33918822723508
-74.33902522560851,success,-35.08973716315974,dcdd3e8ad0162d692145134a64a0b81109e09d93,10931243117252045e3,43,0.32428628049999997,0,0.0102781775,1,78,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-98,0.33456445799999995,-39.24928806244877
-67.96594773496932,success,-35.08973716315974,dcdd3e8ad0162d692145134a64a0b81109e09d93,12247187585977457e3,43,0.047344401,0.012319742,0.010008618,1,65,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-85,0.069672761,-32.87621057180958
-50.51613403997925,success,-38.88827604671346,dcdd3e8ad0162d692145134a64a0b81109e09d93,4587266203125445e3,63,0.3198185255,0,0.009766637,0,70,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-70,0.32958516250000003,-11.627857993265792
-47.44035124744374,success,-38.88827604671346,dcdd3e8ad0162d692145134a64a0b81109e09d93,2290679651720889900,63,0.00625674,0.01215896,0.009507391,0,64,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-64,0.027923091,-8.552075200730286
